kod|ad|alis_tarihi|borc_toplami|kullanim_yeri|zimmetli_kisi
253.002.024.012|Forlift Tamir Bakım (Ankara İstif)||65.000,00||65.000,00
253.002.024.014|Tarih Kodlama Makinası Bakım Onarım (Jet Kodlama)||48.975,50||48.975,50
253.002.024.015|Etiket Makinası Bakım Onarım (Krones Makina)||99.536,58||99.536,58
253.002.024.016|Kosme Paletleme Bölümü Bakım Onarım (Krones Makina||79.569,42||79.569,42
253.002.024.017|55 Adet 30 İnç Mızrak Filtre (Fkd Mühendislik)||105.650,00||105.650,00
253.002.024.018|Etiketleme Makina Çıkış Bant Dişlisi (Khrome Makin||30.053,84||30.053,84
253.002.024.019|Damacana Makinası Fırça Değişimi (Simera Grup Maki||114.000,00||114.000,00
253.002.024.020|Forlift Tamir Bakım (Ankara İstif)||16.000,00||16.000,00
253.002.024.021|Kamyon Bakım Onarım (Yaşar Oto)||62.000,00||62.000,00
253.002.024.022|Kamyon Yedek Parça (Yaşar Oto)||15.500,00||15.500,00
253.002.024.023|Şişirme Ve Dolma Bölümleri Yağ Bakımı (Krones Maki||25.739,71||25.739,71
253.002.024.024|Dönüşlü Band Pimi (Çağrı Endüstriyel)||31.655,83||31.655,83
253.002.024.025|Runxin Filtre Valfi (Alfa Makina)||20.000,00||20.000,00
253.002.024.026|Motor Koruma Rolesi Tamiri (Khrome Makina)||20.000,00||20.000,00
253.002.024.027|Forlift Tamir Bakım (Ankara İstif)||26.000,00||26.000,00
253.002.024.028|Forlift Tamir Bakım (Ankara İstif)||54.000,00||54.000,00
253.002.024.029|Forlift Tamir Bakım (Ankara İstif)||47.500,00||47.500,00
253.002.024.030|Servis Tamir Bakım Onarım (Tan Grup)||22.502,25||22.502,25
253.002.024.031|Araç Tamir Bakım Onarım (Tan Grup)||23.208,50||23.208,50
253.002.024.032|Kamyon Tadilatı (Cms Hidrolik Otomotiv)||30.000,00||30.000,00
253.002.024.033|Argon Kaynak Borulama Ve Montaj (Khrome Makina)||20.000,00||20.000,00
253.003.001.001|Td480 Çim Biçme Makinesi (Alpina Marka)||2.104,51||2.104,51
253.003.001.002|Kodlama Makinası (Videojet)||7.068,03||7.068,03
253.003.001.004|İletkenle Ölçme Cihazı (Hanma_P19812/5)||1.170,00||1.170,00
253.003.001.005|Yıkama Ünitesi_(Ersey)_ Doldurma Kapaklama Ünitesi||2.500 oo||2.500 oo
253.003.001.006|Asit Dosaj Pompası _(Diversey)||340,23||340,23
253.003.001.007|Assy Dijital Sayaç_(Gemo_Ds207)||1.465 oo||1.465 oo
253.003.001.009|Elektrikli Vakum Pompası||802,66||802,66
253.003.001.011|Su Sondaj Kuyusu Müştemilatı||13.192,41||13.192,41
253.003.001.012|Ozon Jenaratörü_(Safir Ozon)||11.100 oo||11.100 oo
253.003.001.013|Ozon Jeneratörü Gösterme Cih._(DeIta)||1.107,90||1.107,90
253.003.001.014|35 Kva Jeneratör _(Türkojen)||8.250 oo||8.250 oo
253.003.001.015|Su Analiz Fotometresi (Spectro Fotometresi Hach Dr||5.931,98||5.931,98
253.003.001.016|Dolum Makinası_(Ersey Makinesi) 12 Ve 30 Birleştir||150.000,02||150.000,02
253.003.001.019|Dolum Hattı Konveyörü (40 İle Birleşecek)||30.885,00||30.885,00
253.003.001.020|Yükleme Rampası-SeksiyoneI Kapı||18.605,00||18.605,00
253.003.001.021|Ozon Dezenfeksiyon Sistemi _(GüzeIcekaIe) 149 İle||57.237,00||57.237,00
253.003.001.022|Elektronik Terazi||400,00||400,00
253.003.001.023|Su Boru Hattı||3.054,45||3.054,45
253.003.001.024|Ebara Pompa||3.114,90||3.114,90
253.003.001.025|Su Deposu (Beton 4 Adet)||200.000,00||200.000,00
253.003.001.027|Damacana Ön Yıkama Makinası||40.000,00||40.000,00
253.003.001.028|Dönerli Konveyör||2.320,00||2.320,00
253.003.001.029|Damacana Konvejörleri Seti||22.000,00||22.000,00
253.003.001.030|P.Karbonat Şie Yıkama Dol.Kap. (Ersey)||59.322,03||59.322,03
253.003.001.031|Sartopure Sistemleri||29.744,00||29.744,00
253.003.001.032|Hız Kontrol Cihazı Delta||1.475,00||1.475,00
253.003.001.033|Valf Adası _(4adet)||4.248,00||4.248,00
253.003.001.034|Damacana Makinesi||34.926,00||34.926,00
253.003.001.035|Forklift 1,8 Benzinli (Komatsu_GüzeIcekaIe)||68.264,00||68.264,00
