kod|ad|tutar|alis_tarihi|kullanim_yeri
253.024.030|55 ADET 30 İNÇ MIZRAK FİLTRE (FKD MÜHENDİSLİK)||4.10.2024|Haymana
253.024.031|ETİKETLEME MAKİNA ÇIKIŞ BANT DişLisi (KHROME MAKİNA)|530.053,84|8.10.2024|Bağiçi
253.024.032|DAMACANA MAKİNASI FIRÇA DEĞİŞİMİ (SİMERA GRUP MAKİNA)||10.10.2024|Bağiçi
253.024.033|FORLİFT TAMİR BAKIM (ANKARA İSTİF)|516.000,00|15.10.2024|Haymana
253.024.034|KAMYON BAKIM ONARIM (YAŞAR OTO)|562.000,00|16.10.2024|Çiftlik
253.024.035|KAMYON YEDEK PARÇA (YAŞAR OTO)|515.500,00|16.10.2024|Çiftlik
253.024.036|ŞİŞİRME VE DOLMA BÖLÜMLERİ YAĞ BAKIMI (KRONES MAKİNA)|525.739,71|16.10.2024|Haymana
253.024.037|DÖNÜŞLÜ BAND PİMİ (ÇAĞRI ENDÜSTRİYEL)|531.655,83|17.10.2024|Bağiçi
253.024.038|RUNXİN FİLTRE VALFİ (ALFA MAKİNA)|520.000,00|18.10.2024|Bağiçi
253.024.039|MOTOR KORUMA ROLESİ TAMİRİ (KHROME MAKİNA)|520.000,00|4.11.2024|Haymana
253.024.040|FORLİFT TAMİR BAKIM (ANKARA İSTİF)|526.000,00|11.11.2024|Haymana
253.024.041|FORLİFT TAMİR BAKIM (ANKARA İSTİF)|554.000,00|11.11.2024|Haymana
253.024.042|FORLİFT TAMİR BAKIM (ANKARA İSTİF)|547.500,00|22.11.2024|Haymana
253.024.043|SERVİS TAMİR BAKIM ONARIM (TAN GRUP)|522.502,25|23.11.2024|Bağiçi
253.024.044|ARAÇ TAMİR BAKIM ONARIM (TAN GRUP)|523.208,50|23.11.2024|Bağiçi
253.024.045|KAMYON TADİLATI (cıvıs HİDROLİK OTOMOTİV)|530.000,00|23.11.2024|Çiftlik
253.024.046|ARGON KAYNAK BORULAMA VE MONTAJ (KHROME MAKİNA)|520.000,00|28.11.2024|Haymana
