Sıra No;İrsaliye No;Nakliye Tarihi;Çıkış Yeri;Sevk Yeri;Birim Fiyat;Birim Fiyat %40;Motorin Baz Fiyatı;Günlük Motorin Fiyatı;Motorin Fiyat Farkı;Motorin Fiyat Farkı %;Zam / İndirim;KDV Hariç Toplam;KDV Tutarı;KDV Tevkifat;Toplam Fiyat;;;
58;SEI2026000000609;21.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,831;₺3,07;5,60%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
59;SEI2026000000603;21.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,831;₺3,07;5,60%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
60;SEI2026000000605;21.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,831;₺3,07;5,60%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
61;SEI2026000000624;23.02.2026;GÜZELCEKALE;ÇİFTLİK;₺5.445,00;₺2.178,00;₺54,766;₺57,831;₺3,07;5,60%;₺0,00;₺5.445,00;₺1.089,00;₺217,80;₺6.316,20;;;
62;SEI2026000000616;23.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,831;₺3,07;5,60%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
63;SEI2026000000615;23.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,831;₺3,07;5,60%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
64;SEI2026000000622;23.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,831;₺3,07;5,60%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
;;24.02.2026;BAĞİÇİ;ÇİFTLİK;₺0,00;₺0,00;₺54,766;₺55,436;₺5,53;0,00%;₺0,00;₺0,00;;;;;;
;;24.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺55,436;₺5,53;10,10%;₺319,97;₺8.239,97;;;;;;
;;24.02.2026;GÜZELCEKALE;ÇİFTLİK;₺5.445,00;₺2.178,00;₺54,766;₺55,436;₺5,53;10,10%;₺219,98;₺5.664,98;;;;;;
;;24.02.2026;BEYPAZARI;ÇİFTLİK;₺0,00;₺0,00;₺54,766;₺55,436;₺5,53;0,00%;₺0,00;₺0,00;;;;;;
65;SEI2026000000629;24.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺8.239,97;₺3.295,99;₺54,766;₺60,300;₺5,53;10,10%;₺0,00;₺8.239,97;₺1.647,99;₺329,60;₺9.558,37;;;
